Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270037","Holdings with land size 10-<20","2010","2009-2010","No","24300","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270038","Holdings with land size 20-<50","2010","2009-2010","No","6897","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270039","Holdings with land size 50-<100","2010","2009-2010","No","1202","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","2700300","Holdings with land size 100-<200","2010","2009-2010","No","850","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","2700301","Holdings with land size 200-<500","2010","2009-2010","No","478","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","426","Lesotho","60850","Number","270030","Holdings with land size 0-<1","2010","2009-2010","No","98719","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","426","Lesotho","60850","Number","270031","Holdings with land size 1-<2","2010","2009-2010","No","69321","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","426","Lesotho","60850","Number","270032","Holdings with land size 2-<3","2010","2009-2010","No","27133","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","426","Lesotho","60850","Number","270034","Holdings with land size 3-<4","2010","2009-2010","No","22575","A","Official figure",""
"WCAD","Structural data from agricultural censuses","454","Malawi","60850","Number","270030","Holdings with land size 0-<1","2010","2006-2007","No","1945863","A","Official figure",""
"WCAD","Structural data from agricultural censuses","454","Malawi","60850","Number","270031","Holdings with land size 1-<2","2010","2006-2007","No","506457","A","Official figure",""
"WCAD","Structural data from agricultural censuses","454","Malawi","60850","Number","270032","Holdings with land size 2-<3","2010","2006-2007","No","213245","A","Official figure",""
"WCAD","Structural data from agricultural censuses","480","Mauritius","60850","Number","270030","Holdings with land size 0-<1","2010","2014","No","18729","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","480","Mauritius","60850","Number","270031","Holdings with land size 1-<2","2010","2014","No","3297","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","480","Mauritius","60850","Number","270032","Holdings with land size 2-<3","2010","2014","No","648","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","480","Mauritius","60850","Number","270034","Holdings with land size 3-<4","2010","2014","No","307","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","480","Mauritius","60850","Number","270035","Holdings with land size 4-<5","2010","2014","No","109","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","480","Mauritius","60850","Number","270036","Holdings with land size 5-<10","2010","2014","No","189","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","480","Mauritius","60850","Number","270037","Holdings with land size 10-<20","2010","2014","No","64","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","270066","Holdings without land","2010","2009-2010","No","150257","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","270030","Holdings with land size 0-<1","2010","2009-2010","No","1264929","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","270031","Holdings with land size 1-<2","2010","2009-2010","No","1369801","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","270032","Holdings with land size 2-<3","2010","2009-2010","No","580475","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","270034","Holdings with land size 3-<4","2010","2009-2010","No","246032","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","270035","Holdings with land size 4-<5","2010","2009-2010","No","100948","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","270036","Holdings with land size 5-<10","2010","2009-2010","No","99630","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","270037","Holdings with land size 10-<20","2010","2009-2010","No","4344","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","270038","Holdings with land size 20-<50","2010","2009-2010","No","844","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","270039","Holdings with land size 50-<100","2010","2009-2010","No","62","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","2700300","Holdings with land size 100-<200","2010","2009-2010","No","22","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","2700301","Holdings with land size 200-<500","2010","2009-2010","No","24","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","2700302","Holdings with land size 500-<1000","2010","2009-2010","No","6","A","Official figure",""
"WCAD","Structural data from agricultural censuses","508","Mozambique","60850","Number","2700303","Holdings with land size 1000-<2500","2010","2009-2010","No","15","A","Official figure",""
"WCAD","Structural data from agricultural censuses","516","Namibia","60850","Number","270030","Holdings with land size 0-<1","2010","2013-2014","No","14884","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","516","Namibia","60850","Number","270031","Holdings with land size 1-<2","2010","2013-2014","No","12148","A","Official figure",""
"WCAD","Structural data from agricultural censuses","516","Namibia","60850","Number","270032","Holdings with land size 2-<3","2010","2013-2014","No","14373","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","516","Namibia","60850","Number","270034","Holdings with land size 3-<4","2010","2013-2014","No","10395","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","516","Namibia","60850","Number","270035","Holdings with land size 4-<5","2010","2013-2014","No","7801","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","516","Namibia","60850","Number","270036","Holdings with land size 5-<10","2010","2013-2014","No","40974","A","Official figure",""
"WCAD","Structural data from agricultural censuses","516","Namibia","60850","Number","270037","Holdings with land size 10-<20","2010","2013-2014","No","58909","A","Official figure",""
"WCAD","Structural data from agricultural censuses","690","Seychelles","60850","Number","270030","Holdings with land size 0-<1","2010","2011","No","357","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","690","Seychelles","60850","Number","270031","Holdings with land size 1-<2","2010","2011","No","125","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","690","Seychelles","60850","Number","270032","Holdings with land size 2-<3","2010","2011","No","48","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270066","Holdings without land","2020","2017","No","2454","A","Official figure","The data is only for commercial farmers (those registered for tax). Farmers not registered for tax are not included."
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270031","Holdings with land size 1-<2","2020","2017","No","1027","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270032","Holdings with land size 2-<3","2020","2017","No","682","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270034","Holdings with land size 3-<4","2020","2017","No","602","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270035","Holdings with land size 4-<5","2020","2017","No","541","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270036","Holdings with land size 5-<10","2020","2017","No","1861","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270037","Holdings with land size 10-<20","2020","2017","No","2522","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270038","Holdings with land size 20-<50","2020","2017","No","4199","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270039","Holdings with land size 50-<100","2020","2017","No","3764","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","2700300","Holdings with land size 100-<200","2020","2017","No","4121","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","2700301","Holdings with land size 200-<500","2020","2017","No","5591","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","2700302","Holdings with land size 500-<1000","2020","2017","No","4208","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","2700303","Holdings with land size 1000-<2500","2020","2017","No","8550","A","Official figure",""
"WCAD","Structural data from agricultural censuses","768","Togo","60850","Number","270066","Holdings without land","2010","2012-2014","No","11225","A","Official figure",""
"WCAD","Structural data from agricultural censuses","768","Togo","60850","Number","270030","Holdings with land size 0-<1","2010","2012-2014","No","69764","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","768","Togo","60850","Number","270031","Holdings with land size 1-<2","2010","2012-2014","No","96677","A","Official figure",""
"WCAD","Structural data from agricultural censuses","768","Togo","60850","Number","270032","Holdings with land size 2-<3","2010","2012-2014","No","88389","A","Official figure",""
"WCAD","Structural data from agricultural censuses","768","Togo","60850","Number","270034","Holdings with land size 3-<4","2010","2012-2014","No","67399","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","768","Togo","60850","Number","270035","Holdings with land size 4-<5","2010","2012-2014","No","51063","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","768","Togo","60850","Number","270036","Holdings with land size 5-<10","2010","2012-2014","No","89465","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","768","Togo","60850","Number","270037","Holdings with land size 10-<20","2010","2012-2014","No","32244","A","Official figure",""
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","270030","Holdings with land size 0-<1","2010","2007-2008","No","1831559","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","270031","Holdings with land size 1-<2","2010","2007-2008","No","1668498","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","270032","Holdings with land size 2-<3","2010","2007-2008","No","1045917","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","270034","Holdings with land size 3-<4","2010","2007-2008","No","353030","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","270035","Holdings with land size 4-<5","2010","2007-2008","No","369381","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","270036","Holdings with land size 5-<10","2010","2007-2008","No","571142","A","Official figure",""
